2_Acc,2_L,5_Acc,5_L,10_Acc,10_L
8.25,9.00,7.00,8.75,8.75,9.25
8.50,8.75,8.50,9.00,9.00,9.00
10.00,8.50,7.75,8.50,8.25,9.25
8.75,8.75,7.75,8.50,8.75,9.25
7.75,8.75,9.00,8.50,8.75,9.50
9.00,8.50,7.75,8.25,9.00,8.75
7.50,8.25,8.75,9.00,8.75,8.75
9.75,8.50,9.25,9.00,8.75,9.00
8.50,8.75,8.25,8.75,8.75,8.75
7.75,9.25,8.00,8.75,9.00,9.25
8.00,8.75,8.25,9.00,8.25,8.75
8.50,8.50,8.75,8.50,8.25,9.00
8.00,8.50,8.00,8.75,8.25,9.25
8.25,8.25,8.25,8.25,8.75,8.75
8.75,8.75,8.00,8.75,8.25,9.00
8.00,9.25,8.25,8.25,8.00,9.00
8.50,9.00,8.50,8.50,8.00,9.25
8.00,8.25,8.25,8.50,8.75,9.00
9.00,8.75,7.75,8.75,8.50,8.75
9.75,8.75,7.50,8.50,8.25,9.25
9.00,8.75,8.00,8.50,9.00,9.50
9.25,9.00,8.00,8.75,9.00,9.00
8.75,9.00,8.00,8.75,8.75,8.75
9.25,8.75,8.75,8.75,8.50,9.00
9.50,8.50,7.75,8.50,8.25,9.25
8.75,9.00,8.75,8.75,8.25,9.25
8.25,9.00,7.75,9.00,9.00,8.50
9.50,9.75,8.25,8.75,8.50,9.25
8.00,8.50,8.25,9.00,8.50,8.50
9.00,9.00,8.50,9.25,8.25,8.75
